url,written,written_human_readable,origin,shape,shards,chunks,dimension_names,license,name,description,organismId,fbbiId
https://storage.googleapis.com/jax-public-ngff/public/42815.zarr,10527626795,9.8 GiB,https://images.jax.org/webclient/?show=image-176894,"1,3,1,55296,96000","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/41908.zarr,4211777378,3.9 GiB,https://images.jax.org/webclient/?show=image-174223,"1,3,1,51200,67200","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/39287.zarr,15599004407,14.5 GiB,https://images.jax.org/webclient/?show=image-166561,"1,3,1,55296,115200","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/45778.zarr,5867151036,5.5 GiB,https://images.jax.org/webclient/?show=image-185482,"1,3,1,37632,97920","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/45744.zarr,5187806765,4.8 GiB,https://images.jax.org/webclient/?show=image-185381,"1,3,1,38656,82560","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/42465.zarr,8023936208,7.5 GiB,https://images.jax.org/webclient/?show=image-175844,"1,3,1,45312,94080","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/39241.zarr,5415066432,5.0 GiB,https://images.jax.org/webclient/?show=image-166423,"1,3,1,49152,61440","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/38860.zarr,3802207639,3.5 GiB,https://images.jax.org/webclient/?show=image-165329,"1,3,1,51456,57600","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/45416.zarr,6977844377,6.5 GiB,https://images.jax.org/webclient/?show=image-184398,"1,3,1,44800,78720","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/42074.zarr,3274448630,3.0 GiB,https://images.jax.org/webclient/?show=image-174722,"1,3,1,28416,78720","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
